Umsatz (ohne Soll/Haben-Kz);Soll/Haben-Kennzeichen;WKZ Umsatz;Kurs;Basis-Umsatz;WKZ Basis-Umsatz;Konto;Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Belegdatum;Belegfeld 1;Belegfeld 2;Skonto;Buchungstext;Postensperre;Diverse Adressnummer;Geschäftspartnerbank;Sachverhalt;Zinssperre;Beleglink;Beleginfo - Art 1;Beleginfo - Inhalt 1;Beleginfo - Art 2;Beleginfo - Inhalt 2;Beleginfo - Art 3;Beleginfo - Inhalt 3;Beleginfo - Art 4;Beleginfo - Inhalt 4;Beleginfo - Art 5;Beleginfo - Inhalt 5;Beleginfo - Art 6;Beleginfo - Inhalt 6;Beleginfo - Art 7;Beleginfo - Inhalt 7;Beleginfo - Art 8;Beleginfo - Inhalt 8;KOST1 - Kostenstelle;KOST2 - Kostenstelle;Kost-Menge;EU-Land u. UStID;EU-Steuersatz;Abw. Versteuerungsart;Sachverhalt L+L;Funktionsergänzung L+L;BU 49 Hauptfunktionstyp;BU 49 Hauptfunktionsnummer;BU 49 Funktionsergänzung;Zusatzinformation - Art 1;Zusatzinformation- Inhalt 1;Zusatzinformation - Art 2;Zusatzinformation- Inhalt 2;Zusatzinformation - Art 3;Zusatzinformation- Inhalt 3;Zusatzinformation - Art 4;Zusatzinformation- Inhalt 4;Zusatzinformation - Art 5;Zusatzinformation- Inhalt 5;Zusatzinformation - Art 6;Zusatzinformation- Inhalt 6;Zusatzinformation - Art 7;Zusatzinformation- Inhalt 7;Zusatzinformation - Art 8;Zusatzinformation- Inhalt 8;Zusatzinformation - Art 9;Zusatzinformation- Inhalt 9;Zusatzinformation - Art 10;Zusatzinformation- Inhalt 10;Zusatzinformation - Art 11;Zusatzinformation- Inhalt 11;Zusatzinformation - Art 12;Zusatzinformation- Inhalt 12;Zusatzinformation - Art 13;Zusatzinformation- Inhalt 13;Zusatzinformation - Art 14;Zusatzinformation- Inhalt 14;Zusatzinformation - Art 15;Zusatzinformation- Inhalt 15;Zusatzinformation - Art 16;Zusatzinformation- Inhalt 16;Zusatzinformation - Art 17;Zusatzinformation- Inhalt 17;Zusatzinformation - Art 18;Zusatzinformation- Inhalt 18;Zusatzinformation - Art 19;Zusatzinformation- Inhalt 19;Zusatzinformation - Art 20;Zusatzinformation- Inhalt 20;Stück;Gewicht;Zahlweise;Forderungsart;Veranlagungsjahr;Zugeordnete Fälligkeit;Skontotyp;Auftragsnummer;Buchungstyp;Ust-Schlüssel (Anzahlungen);EU-Land (Anzahlungen);Sachverhalt L+L (Anzahlungen);EU-Steuersatz (Anzahlungen);Erlöskonto (Anzahlungen);Herkunft-Kz;Buchungs GUID;KOST-Datum;Mandatsreferenz;Skontosperre;Gesellschaftername;Beteiligtennummer;Identifikationsnummer;Zeichnernummer;Postensperre bis;BezeichnungSoBil-Sachverhalt;KennzeichenSoBil-Buchung;Festschreibung;Leistungsdatum;Datum Zuord. Steuerperiode;Netto;Umsatzsteuer;Leistungsdatum
22,49;"S";"";;;"";10000;8000;"";1706;"IN-19-1022";;;"";;"";;;;BEDI ""55508833-0862-5dc2-bdd3-80d0ca31f80f"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"17062019 - 17062019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19062019;;;;;;;;;;0;;;;;;
233,32;"H";"";;;"";8338;10000;"";0307;"IN-19-1021";;;"";;"";;;;BEDI ""335951ce-60d6-57b4-80ed-9498e7592107"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"207,66";"Steuerbetrag";"26,00";"Leistungsdatum";"03072019 - 03072019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05072019;;;;;;;;;;0;;;;;;
25,66;"S";"";;;"";10000;8000;"";0307;"IN-19-1021";;;"";;"";;;;BEDI ""335951ce-60d6-57b4-80ed-9498e7592107"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"03072019 - 03072019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05072019;;;;;;;;;;0;;;;;;
413,42;"H";"";;;"";8338;10000;"";1906;"IN-19-1015";;;"";;"";;;;BEDI ""3db538ae-858d-56a6-90bc-ac31a5870c0b"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"370,32";"Steuerbetrag";"43,00";"Leistungsdatum";"19062019 - 19062019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20062019;;;;;;;;;;0;;;;;;
43,10;"S";"";;;"";10000;8000;"";1906;"IN-19-1015";;;"";;"";;;;BEDI ""3db538ae-858d-56a6-90bc-ac31a5870c0b"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"19062019 - 19062019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20062019;;;;;;;;;;0;;;;;;
508,04;"H";"";;;"";8338;10000;"";1206;"IN-19-1014";;;"";;"";;;;BEDI ""b74a2f22-9686-5ad9-a4c6-ac79c6979339"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"449,48";"Steuerbetrag";"59,00";"Leistungsdatum";"12062019 - 12062019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13062019;;;;;;;;;;0;;;;;;
58,56;"S";"";;;"";10000;8000;"";1206;"IN-19-1014";;;"";;"";;;;BEDI ""b74a2f22-9686-5ad9-a4c6-ac79c6979339"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"12062019 - 12062019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13062019;;;;;;;;;;0;;;;;;
752,65;"H";"";;;"";8338;10000;"";2905;"IN-19-1013";;;"";;"";;;;BEDI ""78cbae79-44b8-54ba-8e87-8b94f7ed2374"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"675,08";"Steuerbetrag";"77,00";"Leistungsdatum";"29052019 - 29052019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06062019;;;;;;;;;;0;;;;;;
77,57;"S";"";;;"";10000;8000;"";2905;"IN-19-1013";;;"";;"";;;;BEDI ""78cbae79-44b8-54ba-8e87-8b94f7ed2374"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"29052019 - 29052019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06062019;;;;;;;;;;0;;;;;;
571,20;"H";"";;;"";8400;10011;"";0707;"IN-19-1024";;;"";;"";;;;BEDI ""ea6732b8-0327-5171-90aa-c17c86ed137c"";"Beschreibung";"DemoUp GmbH";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"480,00";"Steuerbetrag";"91,20";"Leistungsdatum";"03072019";"Kundennummer";"1009";;;;"DE 296737899";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29082019;;;;;;;;;;0;03072019;07072019;;;;
882,00;"H";"";;;"";8338;10012;"";0807;"IN-19-1006";;;"";;"";;;;BEDI ""7c4ff45b-b290-5208-9ba2-53d302e75f16"";"Beschreibung";"Block Party";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"785,58";"Steuerbetrag";"97,00";"Leistungsdatum";"24062019 - 14072019";"Kundennummer";"1005";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10072019;;;;;;;;;;0;;;;;;
96,42;"S";"";;;"";10012;8000;"";0807;"IN-19-1006";;;"";;"";;;;BEDI ""7c4ff45b-b290-5208-9ba2-53d302e75f16"";"Beschreibung";"Block Party";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"24062019 - 14072019";"Kundennummer";"1005";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10072019;;;;;;;;;;0;;;;;;
441,00;"H";"";;;"";8338;10012;"";2006;"IN-19-1005";;;"";;"";;;;BEDI ""61a9f55e-441e-516f-b3aa-081f703401aa"";"Beschreibung";"Block Party";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"392,72";"Steuerbetrag";"49,00";"Leistungsdatum";"01062019 - 20062019";"Kundennummer";"1005";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21062019;;;;;;;;;;0;;;;;;
48,28;"S";"";;;"";10012;8000;"";2006;"IN-19-1005";;;"";;"";;;;BEDI ""61a9f55e-441e-516f-b3aa-081f703401aa"";"Beschreibung";"Block Party";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"01062019 - 20062019";"Kundennummer";"1005";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21062019;;;;;;;;;;0;;;;;;
490,00;"H";"";;;"";8000;10012;"";0106;"IN-19-1004";;;"";;"";;;;BEDI ""4014c4d1-f1e2-5c5e-add4-0d6510c94699"";"Beschreibung";"Block Party";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"490,00";"Steuerbetrag";"0,00";"Leistungsdatum";"01062019";"Kundennummer";"1005";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06062019;;;;;;;;;;0;01062019;01062019;;;;
59,09;"S";"";;;"";10012;8000;"";0106;"IN-19-1004";;;"";;"";;;;BEDI ""4014c4d1-f1e2-5c5e-add4-0d6510c94699"";"Beschreibung";"Block Party";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"01062019";"Kundennummer";"1005";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06062019;;;;;;;;;;0;01062019;01062019;;;;
3808,00;"H";"";;;"";8400;10001;"";2305;"IN-19-1003";;;"";;"";;;;BEDI ""10fc48c1-bc5f-5de0-b9dd-889a1ce5fd1f"";"Beschreibung";"Herr Rafael Jose Aviles Escobar";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"3200,00";"Steuerbetrag";"608,00";"Leistungsdatum";"23052019";"Kundennummer";"1000";;;;"DE309604599";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27052019;;;;;;;;;;0;23052019;23052019;;;;
3570,00;"H";"";;;"";8400;10013;"";1203;"IN-19-1000";;;"";;"";;;;BEDI ""4a8063f6-ebd2-579f-85af-36cddfb85a70"";"Beschreibung";"Yoloa GmbH";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"3000,00";"Steuerbetrag";"570,00";"Leistungsdatum";"01022019 - 28022019";"Kundennummer";"1002";;;;"DE319690705";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24042019;;;;;;;;;;0;28022019;12032019;;;;
2737,00;"H";"";;;"";8400;10001;"";1203;"IN-19-1001";;;"";;"";;;;BEDI ""118ab3e5-50bc-559f-8a28-6bc5fdf75d27"";"Beschreibung";"Herr Rafael Jose Aviles Escobar";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"2300,00";"Steuerbetrag";"437,00";"Leistungsdatum";"01022019 - 28022019";"Kundennummer";"1000";;;;"DE309604599";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12042019;;;;;;;;;;0;28022019;12032019;;;;
1424,34;"H";"";;;"";8338;10014;"";1003;"IN-19-1002";;;"";;"";;;;BEDI ""e1f15e1c-1c1c-583f-8816-115a61cf4e61"";"Beschreibung";"XOOMDAT Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"1424,34";"Steuerbetrag";"0,00";"Leistungsdatum";"28012019 - 28022019";"Kundennummer";"1001";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;28022019;10032019;;;;
5,00;"H";"";;;"";10002;4970;"";3112;"19-12-kontofhrung";;;"Kontofuehrung";;"";;;;;"Beschreibung";"Fidor Bank AG";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"5,00";"Steuerbetrag";"0,00";"Leistungsdatum";"31122019";"Kundennummer";"1024";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31122019;;;;;;;;;;0;31122019;31122019;;;;
27,08;"H";"";;;"";70013;4964;"";3012;"11-30-19circleci";;;"";;"";;;;BEDI ""091679c8-fa3f-544f-9d38-f9c3bfc07114"";"Beschreibung";"CircleCi";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"27,08";"Steuerbetrag";"0,00";"Leistungsdatum";"30122019";"Kundennummer";"1022";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30122019;;;;;;;;;;0;30122019;30122019;;;;
0,25;"H";"";;;"";4964;70013;"";3012;"";;;"CircleCi";;"";;;;BEDI ""091679c8-fa3f-544f-9d38-f9c3bfc07114"";"Beschreibung";"";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"30122019";"Kundennummer";"1022";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;30122019;;;;
1113,75;"H";"";;;"";70014;1360;"";2312;"231219-exepnses";;;"Überweisung Berlkoenig Expenses";;"";;;;;"Beschreibung";"Empfnger Marc Hoeffl IBAN DE81100110012625576896";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"1113,75";"Steuerbetrag";"0,00";"Leistungsdatum";"23122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23122019;;;;;;;;;;0;23122019;23122019;;;;
9,76;"H";"";;;"";70002;4964;"";2312;"2910-3945";;;"";;"";;;;BEDI ""2485192a-e95f-5074-a9f2-29114c45be85"";"Beschreibung";"ZEIT Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"9,76";"Steuerbetrag";"0,00";"Leistungsdatum";"23122019";"Kundennummer";"1016";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23122019;;;;;;;;;;0;23122019;23122019;;;;
1231,50;"H";"";;;"";70015;4673;"";2212;"671689";;;"Flug nach SF für YC";;"";;;;BEDI ""dd0cd99f-b417-5b9c-bc15-1c361773c903"";"Beschreibung";"Elumbus Gmbh";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"1231,50";"Steuerbetrag";"0,00";"Leistungsdatum";"22122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23122019;;;;;;;;;;0;22122019;22122019;;;;
56,00;"H";"";;;"";70016;4650;"9";1712;"11394";;;"Laserfocus Prototyp fuer Funding Circle mit Dominik Parikh";;"";;;;BEDI ""32f4c295-b318-5819-9e27-f14ecab147e9"";"Beschreibung";"maselli";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"47,06";"Steuerbetrag";"8,94";"Leistungsdatum";"17122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21122019;;;;;;;;;;0;17122019;17122019;;;;
15,92;"H";"";;;"";4650;4654;"";1712;"11394";;;"Laserfocus Prototyp fuer Funding Circle mit Dominik Parikh";;"";;;;BEDI ""32f4c295-b318-5819-9e27-f14ecab147e9"";"Beschreibung";"maselli";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"47,06";"Steuerbetrag";"-31,14";"Leistungsdatum";"17122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21122019;;;;;;;;;;0;17122019;17122019;;;;
6,00;"H";"";;;"";70016;4650;"";1712;"11394";;;"Laserfocus Prototyp fuer Funding Circle mit Dominik Parikh";;"";;;;BEDI ""32f4c295-b318-5819-9e27-f14ecab147e9"";"Beschreibung";"maselli";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"47,06";"Steuerbetrag";"-41,06";"Leistungsdatum";"17122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21122019;;;;;;;;;;0;17122019;17122019;;;;
1614,54;"H";"";;;"";10006;1360;"";1112;"111219-Umbuchung-USD";;;"Umbuchung von USD";;"";;;;;"Beschreibung";"Strego Ventures UG";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"1614,54";"Steuerbetrag";"0,00";"Leistungsdatum";"11122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11122019;;;;;;;;;;0;11122019;11122019;;;;
8,05;"S";"";;;"";1360;10006;"";1112;"";;;"Strego Ventures UG";;"";;;;;"Beschreibung";"";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"11122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;11122019;;;;
89,60;"H";"";;;"";70009;4964;"";1012;"8E706795-0007";;;"";;"";;;;BEDI ""8e25bd26-842a-55cd-af81-ce282c1fd079"";"Beschreibung";"Nylas";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"89,60";"Steuerbetrag";"0,00";"Leistungsdatum";"10122019";"Kundennummer";"1014";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10122019;;;;;;;;;;0;10122019;10122019;;;;
0,13;"H";"";;;"";4964;70009;"";1012;"";;;"Nylas";;"";;;;BEDI ""8e25bd26-842a-55cd-af81-ce282c1fd079"";"Beschreibung";"";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"10122019";"Kundennummer";"1014";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;10122019;;;;
27,13;"H";"";;;"";70004;4964;"";0912;"857EFEE6-0003";;;"";;"";;;;BEDI ""47ba0a30-b23f-5959-b46a-38144d8fbc35"";"Beschreibung";"Superhuman Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"27,13";"Steuerbetrag";"0,00";"Leistungsdatum";"09122019";"Kundennummer";"1020";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09122019;;;;;;;;;;0;09122019;09122019;;;;
119,00;"H";"";;;"";70007;4210;"9";0712;"32160";;;"";;"";;;;BEDI ""ec692387-7923-5e94-b36e-03532fd5508c"";"Beschreibung";"Factory Works GmbH";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"100,00";"Steuerbetrag";"19,00";"Leistungsdatum";"07122019";"Kundennummer";"1004";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04122019;;;;;;;;;;0;07122019;07122019;;;;
55,00;"H";"";;;"";70017;1770;"";0512;"UMSSTSEP19";;;"Lastschrift Finanzamt Weinheim IBAN DE72660000000067001502 B";;"";;;;;"Beschreibung";"Absender Finanzamt Weinheim IBAN DE72660000000067001502 BIC MARKDEF1660";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"55,00";"Steuerbetrag";"0,00";"Leistungsdatum";"05122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05122019;;;;;;;;;;0;05122019;05122019;;;;
6,25;"H";"";;;"";70018;4673;"8";0512;"OTUxMDg5";;;"Fahrt zu Görli Factory von Comtravo Setup";;"";;;;BEDI ""9518a4e6-abec-56de-b332-52bc1d2456fd"";"Beschreibung";"Berliner Verkehrsbetriebe BVG";"Umsatzsteuerprozent";"7";"Name";"";;;"Nettobetrag";"5,84";"Steuerbetrag";"0,41";"Leistungsdatum";"05122019";"Kundennummer";"1025";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23122019;;;;;;;;;;0;05122019;05122019;;;;
5,00;"H";"";;;"";70018;4673;"8";0512;"OTUWOTY4";;;"Fahrt zu Comtravo für Setup";;"";;;;BEDI ""b1d8d206-bb72-5b3e-aeda-a77113cef36b"";"Beschreibung";"Berliner Verkehrsbetriebe BVG";"Umsatzsteuerprozent";"7";"Name";"";;;"Nettobetrag";"4,67";"Steuerbetrag";"0,33";"Leistungsdatum";"05122019";"Kundennummer";"1025";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23122019;;;;;;;;;;0;05122019;05122019;;;;
138,93;"H";"";;;"";70017;1770;"";0312;"UMSSTOKT19";;;"Lastschrift Finanzamt Weinheim IBAN DE72660000000067001502 B";;"";;;;;"Beschreibung";"Absender Finanzamt Weinheim IBAN DE72660000000067001502 BIC MARKDEF1660";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"138,93";"Steuerbetrag";"0,00";"Leistungsdatum";"03122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03122019;;;;;;;;;;0;03122019;03122019;;;;
6,42;"H";"";;;"";70019;4964;"";0312;"CH1FLBOHEQSQ43IHHXRC7BYVVA";;;"";;"";;;;BEDI ""bb48697c-7eb7-5b94-a450-09b307f102bf"";"Beschreibung";"GitHub Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"6,42";"Steuerbetrag";"0,00";"Leistungsdatum";"03122019";"Kundennummer";"1023";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04122019;;;;;;;;;;0;03122019;03122019;;;;
1000,00;"H";"";;;"";70012;640;"";0112;"Contract-001";;;"";;"";;;;BEDI ""a725dc03-45d4-5afc-8692-ec9f0445babb"";"Beschreibung";"Herr Marc Höffl";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"1000,00";"Steuerbetrag";"0,00";"Leistungsdatum";"01122019";"Kundennummer";"1008";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02122019;;;;;;;;;;0;01122019;01122019;;;;
18,10;"H";"";;;"";70020;4964;"";0112;"in1FilY2CcKIYJxALVWZEzFD6u";;;"";;"";;;;BEDI ""609ffd71-1429-5c35-a945-0a42f8df404c"";"Beschreibung";"Notion Labs Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"18,10";"Steuerbetrag";"0,00";"Leistungsdatum";"01122019";"Kundennummer";"1015";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24112019;;;;;;;;;;0;01122019;01122019;;;;
0,05;"S";"";;;"";4964;70020;"";0112;"";;;"Notion Labs Inc";;"";;;;BEDI ""609ffd71-1429-5c35-a945-0a42f8df404c"";"Beschreibung";"";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"01122019";"Kundennummer";"1015";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;01122019;;;;
10000,00;"H";"";;;"";70021;3100;"";0112;"R2019-1204";;;"";;"";;;;BEDI ""249cf758-a01f-51ba-9166-0e311b26d611"";"Beschreibung";"Hadi Online Dienstleistungen";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"10000,00";"Steuerbetrag";"0,00";"Leistungsdatum";"01122019";"Kundennummer";"";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12122019;;;;;;;;;;0;01122019;01122019;;;;
27,15;"H";"";;;"";70013;4964;"";3011;"circle-11302019";;;"";;"";;;;BEDI ""326738a2-1b87-50a3-9812-5110760dcd27"";"Beschreibung";"CircleCi";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"27,15";"Steuerbetrag";"0,00";"Leistungsdatum";"30112019";"Kundennummer";"1022";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30112019;;;;;;;;;;0;30112019;30112019;;;;
